#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Sun Dec 03 14:26:21 EST 2023,5,5,BasicFunctionExpressionSuite,ClassRegistryProvided+ LoadLispChecker+ MainClassProvided+ TestLispFileProvided+ , ,PlusGeneratorChecker+ TimesGeneratorChecker+ ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker ProjectStructureOrganizesEvaluators QuoteChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,0,true,PlusGeneratorChecker TimesGeneratorChecker ,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided ,PlusGeneratorChecker TimesGeneratorChecker ,PlusGeneratorChecker-(0.0/50.0) TimesGeneratorChecker-(0.0/0.0) , ,
0,Sun Dec 03 14:26:21 EST 2023,5,5,BasicFunctionExpressionSuite,ClassRegistryProvided+ LoadLispChecker+ MainClassProvided+ TestLispFileProvided+ , ,PlusGeneratorChecker+ TimesGeneratorChecker+ ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker ProjectStructureOrganizesEvaluators QuoteChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,0,true,PlusGeneratorChecker TimesGeneratorChecker ,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided ,PlusGeneratorChecker TimesGeneratorChecker ,PlusGeneratorChecker-(0.0/50.0) TimesGeneratorChecker-(0.0/0.0) , ,
1,Sun Dec 03 14:26:23 EST 2023,5,0,BasicFunctionExpressionSuite,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided , ,PlusGeneratorChecker TimesGeneratorChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker ProjectStructureOrganizesEvaluators QuoteChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,1,true,PlusGeneratorChecker TimesGeneratorChecker , ,PlusGeneratorChecker TimesGeneratorChecker ,PlusGeneratorChecker-(0.0/50.0) TimesGeneratorChecker-(0.0/0.0) , ,
1,Sun Dec 03 14:26:23 EST 2023,5,0,BasicFunctionExpressionSuite,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided , ,PlusGeneratorChecker TimesGeneratorChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker ProjectStructureOrganizesEvaluators QuoteChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,1,true,PlusGeneratorChecker TimesGeneratorChecker , ,PlusGeneratorChecker TimesGeneratorChecker ,PlusGeneratorChecker-(0.0/50.0) TimesGeneratorChecker-(0.0/0.0) , ,
2,Sun Dec 03 14:26:24 EST 2023,5,0,LazinessSensitiveFunSuite,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided , ,ListMToNCarCdrLazyEval+ ListMToNCarLazyEval+ ListMToNCarNormalEval+ ListMToNCdrLazyEval+ PlusGeneratorChecker TimesGeneratorChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker ProjectStructureOrganizesEvaluators QuoteChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,2,true,ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval , ,ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval ,ListMToNCarCdrLazyEval-(0.0/15.0) ListMToNCarLazyEval-(0.0/15.0) ListMToNCarNormalEval-(0.0/20.0) ListMToNCdrLazyEval-(0.0/30.0) , ,
2,Sun Dec 03 14:26:24 EST 2023,5,0,LazinessSensitiveFunSuite,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided , ,ListMToNCarCdrLazyEval+ ListMToNCarLazyEval+ ListMToNCarNormalEval+ ListMToNCdrLazyEval+ PlusGeneratorChecker TimesGeneratorChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker ProjectStructureOrganizesEvaluators QuoteChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,2,true,ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval , ,ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval ,ListMToNCarCdrLazyEval-(0.0/15.0) ListMToNCarLazyEval-(0.0/15.0) ListMToNCarNormalEval-(0.0/20.0) ListMToNCdrLazyEval-(0.0/30.0) , ,
3,Sun Dec 03 14:26:25 EST 2023,5,0,BasicCurrySuite,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided , ,CurryOnceChecker+ CurryTwiceChecker+ CurryTwoArgsChecker+ ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval PlusGeneratorChecker TimesGeneratorChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker ProjectStructureOrganizesEvaluators QuoteChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,3,true,CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker , ,CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker ,CurryOnceChecker-(0.0/20.0) CurryTwiceChecker-(0.0/20.0) CurryTwoArgsChecker-(0.0/20.0) , ,
3,Sun Dec 03 14:26:25 EST 2023,5,0,BasicCurrySuite,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided , ,CurryOnceChecker+ CurryTwiceChecker+ CurryTwoArgsChecker+ ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval PlusGeneratorChecker TimesGeneratorChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker ProjectStructureOrganizesEvaluators QuoteChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,3,true,CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker , ,CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker ,CurryOnceChecker-(0.0/20.0) CurryTwiceChecker-(0.0/20.0) CurryTwoArgsChecker-(0.0/20.0) , ,
4,Sun Dec 03 14:26:27 EST 2023,11,6,RelationalSuite,ClassRegistryProvided GreaterChecker+ GreaterOrEqualChecker+ LessChecker+ LessOrEqualChecker+ LoadLispChecker MainClassProvided TestLispFileProvided , ,CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval PlusGeneratorChecker TimesGeneratorChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker ProjectStructureOrganizesEvaluators QuoteChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,4,true,GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker , , ,GreaterChecker-(10.0/10.0) GreaterOrEqualChecker-(10.0/10.0) LessChecker-(10.0/10.0) LessOrEqualChecker-(10.0/10.0) , ,
4,Sun Dec 03 14:26:27 EST 2023,11,6,RelationalSuite,ClassRegistryProvided GreaterChecker+ GreaterOrEqualChecker+ LessChecker+ LessOrEqualChecker+ LoadLispChecker MainClassProvided TestLispFileProvided , ,CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval PlusGeneratorChecker TimesGeneratorChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker ProjectStructureOrganizesEvaluators QuoteChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,4,true,GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker , , ,GreaterChecker-(10.0/10.0) GreaterOrEqualChecker-(10.0/10.0) LessChecker-(10.0/10.0) LessOrEqualChecker-(10.0/10.0) , ,
5,Sun Dec 03 14:26:28 EST 2023,11,0,LispLambdaSuite,ClassRegistryProvided GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LoadLispChecker MainClassProvided TestLispFileProvided , ,CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker LispLambdaChecker+ LispLambdaChecker2+ LispLambdaChecker3+ ListMToNCarCdrLazyEval ListMToNCarLazyEval ListMToNCarNormalEval ListMToNCdrLazyEval LoadLambdaChecker+ LoadLambdaChecker2+ LoadLambdaChecker3+ PlusGeneratorChecker TimesGeneratorChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker ProjectStructureOrganizesEvaluators QuoteChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,5,true,LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 , , ,LispLambdaChecker-(0.0/10.0) LispLambdaChecker2-(0.0/10.0) LispLambdaChecker3-(0.0/10.0) LoadLambdaChecker-(0.0/15.0) LoadLambdaChecker2-(0.0/15.0) LoadLambdaChecker3-(0.0/15.0) , ,
