Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Wed Dec 06 11:02:39 EST 2023,BasicExpressionEvaluatorImpl.java,1701878559557,9745,9745,(F)1,0.0,0.0,0.0,100.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,[]
,/modelData/A0UserStudy2010.arff,Wed Dec 06 11:02:39 EST 2023,BasicExpressionEvaluatorImpl.java, 1701878559557
2,,Wed Dec 06 11:02:54 EST 2023,index.java,1701878574077,497123,0,(F)4(I)1(D)2(F)2(I)2(F)2(I)1(F)2,25.0,12.5,0.0,62.5,0.0,0.0,0.03219315895372234,0.0,0.004024144869215292,0.02012072434607646,0.0,0.0,0.008048289738430584,0.0,[]
3,,Wed Dec 06 11:11:11 EST 2023,index.java,1701879071445,71926,0,(I)1(D)1(F)2(D)1(F)4(I)1(F)2,16.666666666666664,16.666666666666664,0.0,66.66666666666666,0.0,0.0,0.16901408450704225,0.0,0.028169014084507043,0.11267605633802817,0.0,0.0,0.028169014084507043,0.0,[]
4,,Wed Dec 06 11:12:23 EST 2023,BasicExpressionEvaluatorImpl.java,1701879143372,75455,0,(D)1(F)2(I)1(F)4(I)3(D)1,33.33333333333333,16.666666666666664,0.0,50.0,0.0,0.0,0.16,0.0,0.02666666666666667,0.08,0.0,0.0,0.05333333333333334,0.0,[]
5,,Wed Dec 06 11:13:38 EST 2023,EnvironmentImpl.java,1701879218867,94992,0,(I)1(F)1(I)1(F)1(I)1(F)1(I)1(F)1(I)4(F)2(I)2(F)2(I)2,60.0,0.0,0.0,40.0,0.0,0.0,0.2127659574468085,0.0,0.0,0.0851063829787234,0.0,0.0,0.1276595744680851,0.0,[]
6,,Wed Dec 06 11:15:41 EST 2023,EnvironmentImpl.java,1701879341921,53914,0,(I)20(F)2(I)1,91.30434782608695,0.0,0.0,8.695652173913043,0.0,0.0,0.4339622641509434,0.0,0.0,0.03773584905660377,0.0,0.0,0.39622641509433965,0.0,[]
7,,Wed Dec 06 11:16:37 EST 2023,EnvironmentImpl.java,1701879397983,23497,0,(F)4(I)1(F)2(I)2(F)2(I)2(F)2(I)6(F)2(I)2,52.0,0.0,0.0,48.0,0.0,0.0,1.0869565217391304,0.0,0.0,0.5217391304347826,0.0,0.0,0.5652173913043478,0.0,[]
8,,Wed Dec 06 11:17:01 EST 2023,EnvironmentImpl.java,1701879421611,6433,6433,(I)6(F)2(I)4(F)1(I)4(R)1(F)3(I)2(R)1,66.66666666666666,0.0,0.0,25.0,8.333333333333332,0.0,4.0,0.0,0.0,1.0,0.0,0.3333333333333333,2.6666666666666665,0.0,[]
9,,Wed Dec 06 11:17:08 EST 2023,EnvironmentImpl.java,1701879428158,9148,9148,(R)1(I)7(R)3(I)2(F)2(I)10,76.0,0.0,0.0,8.0,16.0,0.0,2.7777777777777777,0.0,0.0,0.2222222222222222,0.0,0.4444444444444444,2.111111111111111,0.0,[]
10,,Wed Dec 06 11:17:09 EST 2023,EnvironmentImpl.java,1701879429777,19329,0,(I)1(R)1(I)17(F)2(I)4,88.0,0.0,0.0,8.0,4.0,0.0,1.3157894736842106,0.0,0.0,0.10526315789473684,0.0,0.05263157894736842,1.1578947368421053,0.0,[]
11,,Wed Dec 06 11:17:29 EST 2023,EnvironmentImpl.java,1701879449232,13551,0,(I)3(F)2(I)7(F)2(I)5(R)1(I)3(F)1,75.0,0.0,0.0,20.833333333333336,4.166666666666666,0.0,1.8461538461538463,0.0,0.0,0.38461538461538464,0.0,0.07692307692307693,1.3846153846153846,0.0,[]
12,,Wed Dec 06 11:17:43 EST 2023,EnvironmentImpl.java,1701879463469,15103,0,(F)1(I)3(R)2(I)1(R)1(I)7(R)1(I)3(I R)1(D)1,71.42857142857143,4.761904761904762,0.0,4.761904761904762,23.809523809523807,0.0,1.4,0.0,0.06666666666666667,0.06666666666666667,0.0,0.3333333333333333,1.0,0.0,[]
13,,Wed Dec 06 11:17:58 EST 2023,EnvironmentImpl.java,1701879478917,7331,7331,(F)1,0.0,0.0,0.0,100.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,[]
14,,Wed Dec 31 19:00:00 EST 1969,EnvironmentImpl.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
15,,Wed Dec 31 19:00:00 EST 1969,EnvironmentImpl.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
16,,Wed Dec 06 11:18:18 EST 2023,EnvironmentImpl.java,1701879498912,22832,0,(D)5(F)1(I)12,66.66666666666666,27.77777777777778,0.0,5.555555555555555,0.0,0.0,0.8181818181818182,0.0,0.22727272727272727,0.045454545454545456,0.0,0.0,0.5454545454545454,0.0,[]
17,,Wed Dec 06 11:18:42 EST 2023,EnvironmentImpl.java,1701879522052,30191,0,(I)7(D)1(F)2(D)1(F)2(I)1(F)2(I)1(F)1,50.0,11.11111111111111,0.0,38.88888888888889,0.0,0.0,0.6,0.0,0.06666666666666667,0.23333333333333334,0.0,0.0,0.3,0.0,[]
18,,Wed Dec 06 11:19:14 EST 2023,BasicExpressionEvaluatorImpl.java,1701879554663,49322,0,(F)1(I)7(R)1(I)1(R)1(I)1(R)1(I)1(R)1(I)1(R)1(I)2(D)1,65.0,5.0,0.0,5.0,25.0,0.0,0.40816326530612246,0.0,0.02040816326530612,0.02040816326530612,0.0,0.10204081632653061,0.2653061224489796,0.0,[]
19,,Wed Dec 06 11:20:04 EST 2023,BasicExpressionEvaluatorImpl.java,1701879604111,23263,0,(F)2(D)1(F)2(I)1(D)4(F)2(I)1,15.384615384615385,38.46153846153847,0.0,46.15384615384615,0.0,0.0,0.5652173913043478,0.0,0.21739130434782608,0.2608695652173913,0.0,0.0,0.08695652173913043,0.0,[]
20,,Wed Dec 06 11:20:29 EST 2023,BasicExpressionEvaluatorImpl.java,1701879629807,27430,0,(D)11,0.0,100.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,[]
21,,Wed Dec 06 11:21:01 EST 2023,BasicExpressionEvaluatorImpl.java,1701879661870,93702,0,(F)2(I)2(D)1(I)2,57.14285714285714,14.285714285714285,0.0,28.57142857142857,0.0,0.0,0.07526881720430108,0.0,0.010752688172043012,0.021505376344086023,0.0,0.0,0.043010752688172046,0.0,[]
22,,Wed Dec 06 11:22:39 EST 2023,BasicExpressionEvaluatorImpl.java,1701879759306,43609,0,(D)2(I)1(D)3(I)1(F)2(I)1,30.0,50.0,0.0,20.0,0.0,0.0,0.23255813953488372,0.0,0.11627906976744186,0.046511627906976744,0.0,0.0,0.06976744186046512,0.0,[]
23,,Wed Dec 06 11:23:22 EST 2023,ClassRegistryImpl.java,1701879802915,145051,0,(I)1(F)2(D)1(F)2(I)8,64.28571428571429,7.142857142857142,0.0,28.57142857142857,0.0,0.0,0.09655172413793103,0.0,0.006896551724137931,0.027586206896551724,0.0,0.0,0.06206896551724138,0.0,[]
24,,Wed Dec 06 11:25:40 EST 2023,BasicExpressionEvaluatorImpl.java,1701879940440,3403134,0,(I)2(F)2(I)1(F)2(I)8(D)1,68.75,6.25,0.0,25.0,0.0,0.0,0.0047017337643255955,0.0,2.938583602703497E-4,0.0011754334410813989,0.0,0.0,0.0032324419629738465,0.0,[]
25,,Wed Dec 06 12:22:27 EST 2023,BasicExpressionEvaluatorImpl.java,1701883347743,54981,0,(D)1(I)1(F)4,16.666666666666664,16.666666666666664,0.0,66.66666666666666,0.0,0.0,0.1111111111111111,0.0,0.018518518518518517,0.07407407407407407,0.0,0.0,0.018518518518518517,0.0,[]
