Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
index.AndEvaluator,and,@AndEvaluator,and,eval,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.AndEvaluator,and,@AndEvaluator,and,eval,none,Evaluator,none,index.AndEvaluator,and,@AndEvaluator,and,evalHelper,helper
index.AndEvaluator,and,@AndEvaluator,and,evalHelper,helper,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
index.AndEvaluator,and,@AndEvaluator,and,evalHelper,helper,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.AndEvaluator,and,@AndEvaluator,and,evalHelper,helper,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
index.AndEvaluator,and,@AndEvaluator,and,evalHelper,helper,Evaluator,none,index.AndEvaluator,and,@AndEvaluator,and,evalHelper,helper
index.AndEvaluator,and,@AndEvaluator,and,evalHelper,helper,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.FunctionEvaluator,function,FunctionEvaluator,function,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
index.FunctionEvaluator,function,FunctionEvaluator,function,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.FunctionEvaluator,function,FunctionEvaluator,function,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.FunctionEvaluator,function,FunctionEvaluator,function,eval,none,Evaluator:Evaluator,none,main.lisp.evaluator.function.FunctionFactory,function:factory,main.lisp.evaluator.function.FunctionFactory,function:factory,newInstance,new:instance
index.RunF23A5Tests,run:a:tests,RunF23A5Tests,run:a:tests,main,main,Evaluator:Evaluator,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setTracerShowInfo,set:tracer:show:info
index.RunF23A5Tests,run:a:tests,RunF23A5Tests,run:a:tests,main,main,Evaluator:Evaluator,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setBufferTracedMessages,set:buffer:traced:messages
index.RunF23A5Tests,run:a:tests,RunF23A5Tests,run:a:tests,main,main,Evaluator:Evaluator,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxPrintedTraces,set:max:printed:traces
index.RunF23A5Tests,run:a:tests,RunF23A5Tests,run:a:tests,main,main,Evaluator:Evaluator,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxTraces,set:max:traces
index.RunF23A5Tests,run:a:tests,RunF23A5Tests,run:a:tests,main,main,Evaluator:Evaluator,none,grader.basics.execution.BasicProjectExecution,basic:project:execution,grader.basics.execution.BasicProjectExecution,basic:project:execution,setProcessTimeOut,set:process:time:out
index.RunF23A5Tests,run:a:tests,RunF23A5Tests,run:a:tests,main,main,Evaluator:Evaluator,none,gradingTools.comp524f23.assignment6.F23Assignment6Suite,assignment:suite,gradingTools.comp524f23.assignment6.F23Assignment6Suite,assignment:suite,main,main
index.IdentifierAtomImpl,identifier:atom:impl,@IdentifierAtomWithLookup,identifier:atom:with,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression,identifier:atom:abstract:atom:abstract:expression,main.lisp.evaluator.Environment,environment,main.lisp.evaluator.Environment,environment,lookup,none
index.IdentifierAtomImpl,identifier:atom:impl,@IdentifierAtomWithLookup,identifier:atom:with,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression,identifier:atom:abstract:atom:abstract:expression,java.util.Optional,optional,java.util.Optional,optional,isPresent,is:present
index.IdentifierAtomImpl,identifier:atom:impl,@IdentifierAtomWithLookup,identifier:atom:with,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression,identifier:atom:abstract:atom:abstract:expression,java.util.Optional,optional,java.util.Optional,optional,get,get
index.NotEvaluator,not,@NotEvaluator,not,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.NotEvaluator,not,@NotEvaluator,not,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.NotEvaluator,not,@NotEvaluator,not,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
index.NotEvaluator,not,@NotEvaluator,not,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
index.NotEvaluator,not,@NotEvaluator,not,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
index.LetEvaluator,let,@LetEvaluator,let,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.LetEvaluator,let,@LetEvaluator,let,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.evaluator.Environment,environment,main.lisp.evaluator.Environment,environment,newChild,new:child
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.evaluator.Environment,environment,main.lisp.evaluator.Environment,environment,assign,assign
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
index.LetEvaluator,let,@LetEvaluator,let,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,index.ListEvaluator,list,@ListEvaluator,list,evalHelper,helper
index.ListEvaluator,list,@ListEvaluator,list,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isAtom,is:atom
index.ListEvaluator,list,@ListEvaluator,list,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
index.ListEvaluator,list,@ListEvaluator,list,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.ExpressionFactory,expression:factory,main.lisp.parser.terms.ExpressionFactory,expression:factory,newInstance,new:instance
index.ListEvaluator,list,@ListEvaluator,list,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
index.ListEvaluator,list,@ListEvaluator,list,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.ListEvaluator,list,@ListEvaluator,list,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,index.ListEvaluator,list,@ListEvaluator,list,evalHelper,helper
index.ListEvaluator,list,@ListEvaluator,list,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.CondEvaluator,none,@CondEvaluator,none,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.CondEvaluator,none,@CondEvaluator,none,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.NilAtom,nil:atom,main.lisp.parser.terms.NilAtom,nil:atom,NilAtom,nil:atom
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isAtom,is:atom
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper
index.CondEvaluator,none,@CondEvaluator,none,evalHelper,helper,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator,identifier:atom:abstract:atom:abstract:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
index.BasicExpressionEvaluatorImpl,basic:expression:impl,BasicExpressionEvaluatorImpl,basic:expression:impl,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator:BasicExpressionEvaluator,identifier:atom:abstract:atom:abstract:expression:basic:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.BasicExpressionEvaluatorImpl,basic:expression:impl,BasicExpressionEvaluatorImpl,basic:expression:impl,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator:BasicExpressionEvaluator,identifier:atom:abstract:atom:abstract:expression:basic:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
index.BasicExpressionEvaluatorImpl,basic:expression:impl,BasicExpressionEvaluatorImpl,basic:expression:impl,eval,none,Evaluator:Evaluator:IdentifierAtom:AbstractAtom:AbstractSExpression:Evaluator:Evaluator:Evaluator:Evaluator:BasicExpressionEvaluator,identifier:atom:abstract:atom:abstract:expression:basic:expression,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,equals,equals
